"county","city","zip","street","price","br","lsqft","bsqft","year","date","long","lat"
"San Mateo County","Millbrae",94030,"3 Cypress Court",9e+05,3,6300,1710,"1977","2005-03-13",-122.404064,37.605385
"San Francisco County","San Francisco",94110,"47 Fair Oaks Street",856000,3,NA,1320,"1906","2004-07-18",-122.424362,37.755953
"Santa Clara County","Almaden",95120,"6336 Gondola Way",728000,3,7841,2079,"1972","2004-08-08",NA,NA
"Santa Clara County","Los Gatos",95033,"19425 Montevina Road",2480000,4,297079,4425,"2002","2004-08-15",-122.013635,37.203986
"Contra Costa County","Pinole",94564,"2312 Sarita Court",448000,4,6500,1298,"1955","2006-02-26",-122.279709,37.984367
"Contra Costa County","Richmond",94801,"750 8th Street",210000,3,5000,1192,"1919","2004-10-24",-122.361873,37.943493
"Sonoma County","Sebastopol",95472,"1230 Garden Lane",1020000,4,63162,2368,"1997","2006-04-09",-122.848665,38.412511
"Sonoma County","Santa Rosa",95405,"2224 Sartori Drive",5e+05,4,6500,1494,"1962","2005-05-01",-122.671745,38.43411
"Alameda County","Pleasanton",94566,"4332 2nd Street",1072500,3,7500,1482,"1951","2006-05-21",-121.870989,37.661129
"Alameda County","Oakland",94610,"811 York Street \#111",6e+05,2,NA,1519,"1975","2005-06-05",-122.243809,37.812588
"Contra Costa County","Richmond",94806,"3801 Northridge Drive",4e+05,3,NA,1462,"1988","2005-03-13",-122.335021,37.98421
"Alameda County","Oakland",94603,"2147 106th Avenue",417000,2,4000,994,"1941","2005-03-27",-122.158138,37.740573
"Santa Clara County","Willow Glen",95125,"1634 Sweetbriar Drive",910000,4,6970,2055,"1962","2004-06-06",-121.906162,37.283903
"Contra Costa County","Antioch",94509,"1704 San Jose Drive",360000,4,6600,1631,"1968","2005-04-24",-121.82901,37.998662
"Alameda County","Newark",94560,"6733 Thornton Avenue",4e+05,2,7350,1026,"1905","2005-10-09",-122.035311,37.531646
"Contra Costa county","Alamo",94507,"333 Golden Meadow Place",1800000,4,79920,3539,"1989","2004-09-26",-121.982082,37.85894
"Contra Costa County","Concord",94518,"4342 Cowell Road #B",425000,3,11352,1127,"1955","2003-09-28",NA,NA
"Contra Costa County","Rodeo",94572,"1015 Viewpoint Boulevard",455500,3,7630,1295,"1976","2004-10-10",-122.254142,38.027138
"Santa Clara County","Evergreen",95122,"1946 Winterpark Way",465000,4,6000,1352,"1965","2003-05-04",-121.826926,37.333223
"Santa Clara County","Blossom Valley",95136,"4788 Rue Lyon",520000,3,6534,1313,"1973","2005-12-04",NA,NA
"Contra Costa County","Oakley",94561,"302 Malicoat Avenue",575000,3,6695,2268,NA,"2005-12-25",-121.688839,37.997504
"Contra Costa County","Hercules",94547,"2018 Clark Street",622500,NA,1486,NA,NA,"2006-02-12",-122.277576,38.015228
"Alameda County","Oakland",94611,"567 Oakland Avenue \#106",312000,1,NA,720,"1970","2006-05-28",-122.252162,37.820227
"Solano County","Vallejo",94591,"5031 Staghorn Drive",625000,3,6307,2419,"2002","2005-02-27",-122.210353,38.099119
"Santa Clara County","Evergreen",95148,"2467 Sturla Drive",675000,4,6098,1554,"1970","2005-07-24",-121.804026,37.321952
"Alameda County","Union City",94587,"268 Galano Plaza",336000,3,NA,1135,"1985","2004-06-13",-122.004976,37.593759
"San Francisco County","San Francisco",94133,"941 Lombard Street",833000,NA,NA,1174,"1913","2004-06-06",-122.416996,37.802316
"Alameda County","Union City",94587,"34855 Starling Drive",348000,2,NA,903,"1972","2006-05-07",-122.018218,37.582937
"Contra Costa County","Concord",94521,"1820 Wildbrook Court #C",302000,3,1564,1468,"1971","2003-04-27",NA,NA
"Contra Costa County","Discovery Bay",94514,"4424 Cove Lane",409000,4,6400,1760,"1996","2004-07-25",-121.610724,37.89264
"Alameda County","Livermore",94551,"6534 Forget Me Not Common",451500,NA,NA,NA,NA,"2005-03-27",-121.764096,37.685496
"Contra Costa County","Walnut Creek",94598,"1891 Olmo Way",332000,2,1044,1227,"1973","2003-07-13",-122.026188,37.91878
"Santa Clara County","Blossom Hill",95123,"5710 Saxony Court",390000,3,4356,1848,"1982","2003-09-07",NA,NA
"Alameda County","Oakland",94609,"6607 Tremont Street",335000,3,4480,1202,"1908","2004-01-18",-122.268241,37.851162
"Alameda County","Oakland",94603,"378 Burlwood Avenue",305000,2,4056,782,"1942","2004-12-26",-122.186988,37.733853
"Sonoma County","Cloverdale",95425,"80 Tarman Drive",436500,3,7488,1092,"1955","2005-09-04",-123.016667,38.795422
"Alameda County","San Leandro",94577,"110 Accolade Drive",695000,4,1925,1768,"2003","2005-10-23",-122.157025,37.722279
"Marin County","Novato",94945,"50 Circe Court",785000,4,23850,2288,"1976","2006-03-12",-122.52585,38.121417
"Alameda County","Livermore",94551,"216 Garden Common",4e+05,3,1287,1337,"1986","2004-09-19",-121.800626,37.687914
"Santa Clara County","North San Jose",95131,"1246 Formosa Drive",655000,3,2614,1719,"1993","2006-03-05",-121.888764,37.381889
"Alameda County","Berkeley",94702,"2413 Browning Street",1140000,5,6000,3367,"1947","2006-02-05",-122.287506,37.862921
"Alameda County","Oakland",94603,"2496 Palm Villa Court",235000,NA,2743,NA,NA,"2003-06-01",-122.173328,37.738379
"Sonoma County","Santa Rosa",95401,"749 Hewett Street",324000,3,6098,1144,"1967","2003-09-14",-122.734666,38.437024
"Santa Clara County","Los Altos",94022,"1032 Mercedes Avenue",1362500,4,9583,2129,"1950","2005-03-20",-122.118416,37.400567
"San Mateo County","Belmont",94002,"26 Oxford Place",9e+05,3,4478,2140,NA,"2004-09-19",-122.291673,37.518087
"Sonoma county","Santa Rosa",95401,"2427 Santa Cruz Court",364500,NA,NA,NA,NA,"2004-05-23",-122.766656,38.430261
"Santa Clara county","Gilroy",95020,"895 Susan Court",590000,4,7841,1624,"1977","2005-01-23",-121.572063,36.977256
"Santa Clara County","Palo Alto",94306,"2559 Park Boulevard #M101",5e+05,NA,NA,NA,NA,"2004-09-05",NA,NA
"Marin County","Novato",94945,"68 Rockrose Way",875000,3,9450,2504,"1986","2005-11-06",-122.576325,38.117189
"Alameda County","Oakland",94608,"3259 Helen Street #1",369000,2,NA,968,NA,"2004-07-11",NA,NA
"Santa Clara County","Los Gatos",95033,"23581 Summit Road",8e+05,3,436,1696,"1964","2005-12-25",-121.961768,37.236044
"Contra Costa County","San Ramon",94583,"209 Compton Circle \#D",410000,2,NA,924,"1984","2006-05-14",-121.978294,37.773671
"Santa Clara County","Blossom Hill",95123,"5677 Playa Del Rey #4",239500,2,7841,798,"1970","2004-06-06",NA,NA
"Santa Clara County","Mountain View",94043,"229 Cypress Point Drive",395000,2,952,1290,"1977","2003-06-15",-122.074613,37.40679
"San Mateo county","Half Moon Bay",94019,"403 Antoinette Lane",710000,4,6000,1460,"1970","2004-04-11",-122.445946,37.476272
"Alameda County","Oakland",94611,"55 Fairmount Avenue \#107",273000,NA,NA,NA,NA,"2005-07-31",-122.222895,37.827126
"Contra Costa County","San Ramon",94583,"401 Donner Way",6e+05,3,9200,1378,"1989","2003-05-25",-121.94074,37.783916
"Solano county","Fairfield",94533,"2797 Whitney Drive",304000,NA,3814,NA,NA,"2005-06-12",-121.966823,38.279642
"Contra Costa County","Antioch",94509,"1205 Lemontree Court \#3",260000,2,440,903,"1969","2005-10-02",-121.810861,37.99538
"Contra Costa county","Brentwood",94513,"2696 Presidio Drive",372500,NA,NA,NA,NA,"2003-06-29",-121.749852,37.934575
"Santa Clara County","Cupertino",95014,"7834 Festival Drive",618000,3,6098,1190,"1963","2003-12-07",-122.043085,37.309918
"Alameda County","Fremont",94538,"43449 Lindenwood Street",445000,3,6175,1056,"1958","2004-07-25",-121.958432,37.514042
"Alameda County","Oakland",94603,"509 El Paseo Drive",230000,3,4840,992,"1944","2004-05-09",-122.177397,37.727956
"Contra Costa county","Oakley",94561,"5009 Montevino Way",602500,NA,4606,NA,NA,"2005-11-20",-121.71834,37.993474
"Santa Clara County","Blossom Hill",95123,"5688 Makati Circle #C",227500,1,924,690,"1985","2003-06-22",NA,NA
"Solano County","Vallejo",94589,"142 Stonewalk Court",445000,3,10018,1796,"1985","2005-01-16",-122.246042,38.154413
"Alameda County","Fremont",94538,"5609 Tilden Place",618000,3,5684,1232,"1966","2005-07-24",-121.994537,37.527155
"Solano County","Suisun City",94585,"1205 Silk Oak Drive",415000,3,4598,1205,"1989","2005-09-04",-122.016938,38.255248
"Alameda County","Fremont",94555,"34423 Maybird Circle",512000,3,3167,1769,"1990","2003-08-17",-122.050955,37.561748
"Alameda County","Hayward",94545,"29124 Marshbrook Drive",8e+05,NA,6490,NA,NA,"2004-11-21",-122.104187,37.635582
"Alameda County","Hayward",94544,"30538 Flossmoor Way",369000,3,5642,1250,"1955","2003-07-06",-122.041158,37.621524
"Sonoma County","Cotati",94931,"11 Ahlstrom Drive",545000,3,5846,1377,"1987","2005-08-21",-122.706942,38.329849
"Napa County","Napa",94559,"70 Franklin Street",460000,2,3920,987,"1920","2004-06-27",-122.290048,38.287289
"Sonoma County","Penngrove",94951,"129 Kylers Court",889000,4,27443,3032,NA,"2003-09-21",-122.660975,38.314531
"Contra Costa County","Richmond",94806,"2840 Oxford Avenue",465000,3,8880,1582,"1964","2004-12-26",-122.336027,37.972855
"Alameda County","Emeryville",94608,"188 City Limits Circle",551000,NA,NA,NA,NA,"2005-09-18",-122.287253,37.835926
"Contra Costa County","El Cerrito",94530,"109 Carmel Avenue",546000,3,4400,985,"1944","2005-11-27",-122.290207,37.898731
"Alameda County","San Leandro",94577,"1592 Kelly Avenue",350000,2,5900,1334,"1942","2003-08-31",-122.170362,37.716911
"Alameda County","San Leandro",94579,"1580 Redwood Avenue",643000,5,5130,1686,"1953","2006-06-04",-122.158523,37.69674
"Contra Costa County","Walnut Creek",94598,"859 Tampico",585000,2,2701,1511,"1974","2006-02-12",-122.043502,37.909914
"Alameda County","Emeryville",94608,"18 City Limits Circle",690000,NA,NA,NA,NA,"2005-11-20",-122.288679,37.848983
"San Mateo County","South San Francisco",94080,"103 Highcrest Lane",637000,3,2604,1040,"1997","2003-11-16",-122.4301,37.652857
"Santa Clara County","Sunnyvale",94089,"1105 Lund Terrace",614000,NA,NA,NA,NA,"2005-01-16",-122.00838,37.406289
"Contra Costa County","Crockett",94525,"475 Loring Avenue",469000,2,3000,762,"1993","2005-09-18",-122.21358,38.055898
"Santa Clara County","South San Jose",95111,"5315 Great Oaks Drive",470000,3,6970,1300,"1964","2004-10-24",-121.801719,37.263325
"Santa Clara County","Blossom Valley",95123,"538 Calero Avenue",662000,3,5663,1208,"1966","2006-04-30",NA,NA
"Contra Costa County","Brentwood",94513,"2463 Berkshire Lane",463500,NA,NA,NA,NA,"2003-04-27",-121.709536,37.935311
"Contra Costa County","Pleasant Hill",94523,"321 Grapevine Place",492500,2,NA,1133,"1986","2006-05-28",-122.079955,37.959144
"San Mateo County","San Carlos",94070,"840 Somerset Court",1175000,4,12393,2390,"1974","2005-11-13",-122.278969,37.489341
"Alameda County","Dublin",94568,"3240 Maguire Way \#206",260000,NA,NA,NA,NA,"2005-11-20",-121.925676,37.714179
"Alameda County","Oakland",94601,"2117 Vicksburg Avenue",640000,6,6500,2696,"1949","2006-01-15",-122.203089,37.774648
"Santa Clara County","West San Jose",95128,"3017 Greenbriar Court",670000,3,5227,1909,"1985","2004-05-02",-121.945984,37.302432
"Contra Costa County","Brentwood",94513,"2233 Trinity Drive",550000,NA,NA,NA,NA,"2003-12-07",-121.720652,37.956474
"Santa Clara County","North San Jose",95134,"430 Navaro Place #101",370000,1,436,948,"1991","2004-11-14",NA,NA
"Sonoma County","Sonoma",95476,"610 East 6th Street",1097000,NA,10019,NA,NA,"2004-06-20",-122.458884,38.288771
"Sonoma County","Santa Rosa",95405,"1202 Woodlake Drive",527500,NA,3156,1930,"1994","2005-06-26",-122.66782,38.429759
"Alameda county","Hayward",94545,"2628 Spindrift Circle",766000,NA,NA,NA,NA,"2004-08-15",-122.104187,37.635582
"San Mateo County","San Mateo",94402,"904 Parrott Drive",1448000,4,11456,2710,"1956","2004-08-01",-122.338738,37.54685
"Santa Clara County","Evergreen",95135,"3240 Lyter Way",510000,4,8276,1604,"1985","2003-11-02",-121.788813,37.313446
"Contra Costa County","Brentwood",94513,"851 Stonewood Drive",343000,2,4800,1745,"1995","2003-07-20",-121.719051,37.938878
"San Francisco County","San Francisco",94111,"170 Pacific Avenue #28",1025000,2,NA,1347,"1986","2004-08-08",NA,NA
"Alameda County","Oakland",94605,"5823 Seminary Court",272000,2,2279,828,"1916","2004-08-22",-122.19387,37.769484
"Marin County","Mill Valley",94941,"1009 Erica Road",1725000,4,20291,2883,"1967","2005-11-20",-122.547723,37.886675
"Sonoma County","Kenwood",95452,"2620 Keiser Road",775000,2,95396,1773,"1962","2006-03-26",-122.567727,38.398947
"San Mateo County","San Mateo",94403,"1536 Day Avenue",425000,NA,NA,NA,NA,"2004-05-16",-122.289503,37.551052
"Alameda County","Hayward",94544,"29094 Logan Way",650500,4,5106,3235,NA,"2004-08-22",-122.063938,37.625854
"Santa Clara County","Cambrian",95118,"1207 Montmorency Drive",805000,4,6098,1846,"1984","2005-08-21",-121.881779,37.264178
"Contra Costa County","Bay Point",94565,"111 Tammy Circle",284000,2,640,842,"1986","2005-12-04",-121.95148,38.026041
"Napa County","Napa",94559,"1340 Linden Street",405500,3,8712,1434,"1978","2004-01-18",-122.26033,38.285842
"San Mateo County","Daly City",94015,"59 Fairview Avenue",509000,2,3300,940,"1955","2004-01-25",-122.486882,37.687665
"Solano County","Fairfield",94534,"4399 Snowberry Way",439000,4,8823,1844,"1989","2004-06-06",-122.126974,38.236846
"Contra Costa County","Moraga",94556,"1519 Camino Peral #C",280000,1,NA,951,"1970","2003-06-01",NA,NA
"Marin County","San Rafael",94901,"33 Egret View",915000,NA,NA,NA,NA,"2003-08-31",-122.494027,37.959854
"San Francisco County","San Francisco",94114,"538 Roosevelt Way",567000,NA,NA,1036,"1977","2003-08-03",-122.444723,37.762456
"Solano County","Fairfield",94533,"1970 Grande Circle \#20",235000,2,924,1095,"1982","2005-04-03",-122.011328,38.263305
"Santa Clara County","Evergreen",95122,"1793 Crucero Drive",504000,5,3049,1512,"1971","2005-01-16",-121.842887,37.327451
"Sonoma County","Santa Rosa",95401,"502 Heavy Court",450000,3,8032,1416,"1979","2005-05-08",-122.765587,38.436822
"San Francisco county","San Francisco",94124,"1743 Quesada Avenue",407000,NA,2500,1220,NA,"2004-11-07",-122.39215,37.733727
"Santa Clara County","West San Jose",95128,"1102 South Daniel Way",527000,3,6600,1950,"1960","2003-08-17",-121.941557,37.306253
"Marin County","Novato",94947,"1757 Indian Valley Road",975000,4,52200,1648,"1949","2005-08-21",-122.591796,38.089047
"San Francisco county","San Francisco",94122,"1478 43rd Avenue",705000,NA,2996,1100,"1940","2004-06-06",-122.502447,37.759209
"Santa Clara County","Saratoga",95070,"14652 Big Basin Way",680000,3,1307,1408,"1974","2005-07-24",-122.036968,37.255632
"Contra Costa County","Pittsburg",94565,"2139 Knox Avenue",310000,4,5400,2073,"1956","2003-08-24",-121.896038,38.0164
"Contra Costa County","El Sobrante",94803,"4089 Garden Road",360000,2,19166,894,"1938","2003-10-12",-122.310823,37.968375
"Santa Clara County","Santa Clara",95051,"441 Rosemont Drive",599000,3,5663,1025,"1958","2005-02-27",-121.992363,37.330808
"Alameda County","Oakland",94605,"4487 Mountain View Avenue",595000,3,5280,1763,"1959","2005-07-31",-122.175456,37.783715
"San Mateo County","East Palo Alto",94303,"766 Runnymede Street",610000,NA,NA,NA,NA,"2004-02-22",-122.137634,37.468529
"Santa Clara County","Willow Glen",95125,"1745 Dorrance Drive",951500,5,7200,2673,"1973","2003-09-28",-121.912133,37.28517
"Solano County","Fairfield",94534,"2628 Aspinwall Court",528500,3,9116,1976,"1985","2006-03-26",-122.056281,38.271561
"San Mateo County","Redwood City",94063,"3257 Fair Oaks Avenue",533000,2,4250,960,"1948","2004-11-14",-122.19909,37.477085
"Solano County","Benicia",94510,"824 West J Street",910000,2,6098,927,"1944","2005-10-30",-122.171674,38.058957
"Santa Clara County","Berryessa",95133,"1089 Rymar Way",330000,2,1307,1028,"1987","2003-11-23",-121.859833,37.382708
"Santa Clara County","Evergreen",95138,"5340 Arezzo Drive",1390000,4,10890,3684,"1996","2003-10-19",-121.771584,37.273819
"Sonoma County","Sonoma",95476,"1228 Fryer Creek Drive",514500,3,3049,1580,"1996","2003-07-20",-122.465111,38.278935
"Alameda County","Fremont",94536,"38164 Miller Place",650000,3,4752,1389,"1973","2006-03-05",-121.991362,37.559775
"Solano County","Vacaville",95687,"484 Manchester Way",350000,4,5662,1602,"1977","2005-01-02",-121.974184,38.344206
"Santa Clara County","Santa Clara",95051,"300 Howard Drive",790000,3,6534,1508,"1958","2005-10-09",-122.004313,37.32831
"Sonoma County","Forestville",95436,"10570 Woodside Drive",150000,2,4792,660,"1925","2004-08-15",-122.896215,38.481762
"Solano County","Rio Vista",94571,"180 Edgewater Drive",4e+05,2,10454,1873,"1971","2004-12-12",-121.69235,38.150278
"Alameda County","San Lorenzo",94580,"15969 Via Cordoba",550000,3,5520,1397,"1951","2005-05-01",-122.121007,37.683617
"Santa Clara County","Blossom Hill",95123,"5890 Treetop Court",475000,3,6098,1543,"1971","2004-10-31",NA,NA
"Sonoma County","Santa Rosa",95404,"1666 El Camino Way",875000,4,7844,1873,"1952","2006-03-19",-122.69661,38.455013
"Contra Costa County","Richmond",94801,"2018 Burbeck Avenue",155000,1,2772,585,"1914","2004-12-12",-122.35011,37.942715
"Contra Costa County","Antioch",94509,"909 Jacobsen Street",261000,3,5700,1070,"1956","2003-10-12",-121.791112,38.01043
"Contra Costa County","Brentwood",94513,"230 East Sims Road",355000,NA,NA,NA,NA,"2005-06-26",-121.709536,37.935311
"Solano County","Fairfield",94533,"2748 Geranium Court",330000,3,6969,1426,"1969","2005-02-20",-122.03785,38.279121
"Contra Costa County","Brentwood",94513,"493 Lakeview Drive",608500,4,8234,3292,"2002","2003-09-28",-121.745071,37.928554
"Santa Clara County","Evergreen",95135,"6297 Blauer Lane",445000,2,2614,1357,"1977","2004-02-01",-121.75646,37.287232
"Alameda County","Oakland",94605,"8241 Skyline Circle",835000,3,7865,2011,"2003","2004-08-15",-122.132446,37.772958
"Contra Costa County","Pittsburg",94565,"1213 San Benito Drive",547000,NA,NA,NA,NA,"2003-07-06",-121.892491,38.015021
"San Mateo County","San Mateo",94401,"1618 Cobb Street",561000,3,5400,1000,"1953","2004-08-15",-122.302532,37.561454
"San Mateo County","Brisbane",94005,"113 Swallowtail Court",443000,NA,NA,NA,NA,"2004-06-27",-122.417167,37.692639
"Solano County","Fairfield",94533,"5102 Digerud Drive",422000,NA,4500,NA,NA,"2003-12-28",-122.037019,38.269582
"Santa Clara County","Mountain View",94043,"333 Ruth Avenue",580000,4,5000,1216,"1956","2003-11-09",-122.101454,37.409437
"San Mateo County","South San Francisco",94080,"2455 Williamsburg Court",560000,3,2500,1580,"1975","2004-07-25",-122.454548,37.646215
"Alameda County","Pleasanton",94588,"2708 Spinosa Court",663000,3,2775,1614,"1998","2004-12-12",-121.858687,37.692773
"Santa Clara County","Evergreen",95122,"2006 Simon Avenue",565000,5,4792,1585,"1959","2005-04-10",-121.832464,37.338596
"Santa Clara County","Almaden",95120,"1367 Shelby Creek Lane",540000,3,3990,1155,"1986","2003-07-13",NA,NA
"Alameda County","Hayward",94545,"27671 Miami Avenue",610000,3,5088,1609,"1955","2005-07-31",-122.084429,37.627504
"Sonoma County","Windsor",95492,"307 Whitethorn Court",865000,4,13125,2334,"1988","2005-11-06",-122.800265,38.553184
"Solano County","Vallejo",94591,"2370 Lansdowne Place",506500,NA,13307,NA,NA,"2003-09-28",-122.210353,38.099119
"Alameda County","Oakland",94605,"3601 Majestic Avenue #A",385000,3,6235,1363,"1990","2004-11-14",NA,NA
"Sonoma County","Santa Rosa",95404,"3900 Rolling Oaks Drive",1720000,3,944381,1760,"1978","2004-07-25",-122.675628,38.50144
"Santa Clara County","Blossom Hill",95123,"171 Bangor Avenue",5e+05,3,4792,1203,"1966","2004-04-25",NA,NA
"Solano County","Vallejo",94590,"256 Sonoma Boulevard",388000,NA,1693,NA,NA,"2005-01-02",-122.236852,38.080775
"San Mateo County","Redwood City",94063,"3786 Rolison Road",1175000,12,9408,11064,"1960","2003-10-12",-122.182661809354,37.4834007537069
"Contra Costa County","San Pablo",94806,"301 Highland Place",450000,3,6110,1236,"1968","2004-09-12",-122.319871,38.004901
"Alameda County","Newark",94560,"7862 Wells Avenue",619000,NA,NA,1591,"1977","2005-10-23",-122.042289,37.524676
"Alameda County","Oakland",94605,"8009 Michigan Avenue",7e+05,1,8500,1182,"1924","2006-04-16",-122.161887,37.766981
"Contra Costa County","Walnut Creek",94597,"1747 Holland Circle",547000,3,1000,1339,"1971","2006-04-30",-122.091457,37.920152
"San Francisco County","San Francisco",94108,"1177 California Street \#246",868000,NA,NA,NA,NA,"2005-07-03",-122.413727,37.791456
"Santa Clara County","South San Jose",95111,"4031 Forestbrook Way",465000,4,5663,1139,"1976","2004-04-18",-121.823491647136,37.283222882159
"Alameda County","Castro Valley",94546,"3289 Barlow Drive",635000,3,9794,1020,"1951","2005-10-09",-122.086272,37.70411
"Santa Clara County","Evergreen",95122,"2244 Warfield Way \#D",465000,3,1307,1125,"1979","2005-08-21",-121.841918,37.313432
"Sonoma county","Santa Rosa",95401,"2292 West Valley Court",375000,4,6534,1408,"1978","2003-12-21",-122.656478,38.432248
"Alameda County","Livermore",94551,"1240 Marigold Road",395000,2,6184,1280,"1963","2004-09-05",-121.738697,37.71155
"Contra Costa County","Antioch",94531,"2819 Larkspur Drive",485000,5,8190,2779,"1987","2004-06-13",-121.802225,37.992421
"Santa Clara County","Milpitas",95035,"327 North Abbott Avenue",425000,3,6098,1095,"1958","2004-03-28",-121.915286,37.434007
"Alameda County","Oakland",94607,"989 Franklin Street \#501",304000,NA,NA,NA,NA,"2005-04-10",-122.271865,37.801083
"Santa Clara County","Santa Clara",95054,"4381 Laird Circle",876000,3,2614,2036,"1905","2005-11-20",-121.960668,37.39324
"Alameda County","Alameda",94502,"1040 Verdemar Drive",550000,4,1920,1628,"1968","2004-07-25",-122.245067,37.735129
"Alameda County","San Leandro",94579,"2351 Rocky Point Court",655000,3,4147,2066,NA,"2004-10-24",-122.154212,37.68858
"Alameda county","Oakland",94606,"2517 11th Avenue",445000,3,7500,2028,NA,"2004-01-18",-122.238912,37.798591
"Solano County","Fairfield",94533,"1661 San Carlos Street",286000,3,5662,1736,"1959","2005-01-23",-122.026746,38.259118
"Contra Costa County","Hercules",94547,"401 North Wildwood",330000,2,NA,1505,"1989","2003-06-22",-122.258742,38.007489
"San Mateo County","Hillsborough",94010,"1220 Kenilworth Road",1937000,3,49223,2600,"1975","2004-02-08",-122.355769,37.55263
"Marin County","Mill Valley",94941,"152 Mission Drive",2230000,4,16355,3413,"1994","2005-02-06",-122.503505,37.885733
"Santa Clara County","Almaden",95120,"6989 Silver Fox Drive",579000,3,871,1739,"1993","2004-05-23",NA,NA
"Contra Costa County","San Ramon",94582,"3725 Stonehenge Way",1403500,NA,NA,NA,NA,"2006-05-21",-121.903555,37.748615
"Contra Costa County","Danville",94526,"484 Diablo Road",561500,3,17024,1164,"1947","2004-11-07",-121.991405,37.822935
"Contra Costa County","Pleasant Hill",94523,"416 Camelback Road",530000,3,NA,1583,"1981","2005-06-05",-122.072411,37.976482
"Alpine County","San Francisco",94123,"330 Avila Street",1200000,NA,3000,1362,"1924","2004-04-04",-122.441157,37.804521
"Marin County","Belvedere/tiburon",94920,"32 Lagoon Road",2525000,6,6300,3229,"1965","2005-11-13",NA,NA
"Contra Costa County","San Ramon",94582,"2280 Rosemount Lane",1302500,5,7538,3826,NA,"2006-01-29",-121.952138,37.75735
"San Francisco County","San Francisco",94114,"85 Uranus Terrace",925000,NA,2487,1209,"1908","2005-07-10",-122.4453,37.760691
"Alameda County","Oakland",94612,"1 Lakeside Drive \#721",694000,2,NA,1349,"2001","2006-02-19",-122.271727,37.809427
"Santa Clara County","Greater Downtown-metro Area",95110,"66 Ryland Park Way",590000,NA,NA,NA,NA,"2005-11-06",NA,NA
"Contra Costa County","El Cerrito",94530,"420 Village Drive",555000,2,4050,1027,"1943","2003-12-28",-122.289955,37.906121
"Santa Clara County","Los Gatos",95030,"55 Whitney Avenue",1358000,2,7405,950,"1925","2003-06-29",-121.970799,37.221683
"Santa Clara County","Berryessa",95133,"2329 Granite Lane",415000,4,1307,1596,"1974","2004-05-09",-121.859578,37.37595
"Contra Costa County","Walnut Creek",94598,"309 Ridgestone Court",1475000,5,22651,4420,"1997","2003-06-01",-121.987207,37.917011
"Contra Costa County","Antioch",94531,"5058 Boyle Way",640000,5,8413,3383,"1999","2004-09-12",-121.802225,37.992421
"San Francisco County","San Francisco",94117,"355 East Buena Vista Avenue \#316W",560000,1,NA,624,"1986","2005-07-03",-122.440196,37.767543
"Contra Costa County","Concord",94519,"1785 Lynwood Drive",575000,3,8500,1174,"1959","2005-12-04",-121.994067,37.984663
"San Mateo County","San Mateo",94403,"1808 Parkwood Drive",858000,4,3029,1990,"1988","2004-12-12",-122.302668,37.539686
"Santa Clara County","Morgan Hill",95037,"60 East 2nd Street",725000,3,8276,1985,"1910","2006-04-30",-121.652128,37.129477
"Contra Costa County","Antioch",94531,"5013 Winterglen Way",339000,3,5195,1892,"1990","2003-05-04",-121.758601,37.967837
"Sonoma County","Petaluma",94954,"1709 Northstar Drive",395000,3,6534,1137,"1985","2003-12-21",-122.639005,38.262887
"Contra Costa county","Kensington",94707,"5 Sunset Drive",450000,4,10019,1333,"1921","2005-05-29",-122.284509,37.90814
"Contra Costa County","Oakley",94561,"6211 Sellers Avenue",760000,3,87120,1782,NA,"2005-02-20",-121.677873,37.984471
"Contra Costa County","El Cerrito",94530,"875 Shevlin Drive",1100500,NA,9434,NA,NA,"2006-01-29",-122.29181,37.916166
"Contra Costa County","Antioch",94509,"300 East 18th Street",510000,3,5520,1946,"1927","2005-05-08",-121.799404,38.005112
"San Francisco County","San Francisco",94121,"439 26th Avenue",1375000,9,3227,1050,"1995","2004-02-15",-122.485900561058,37.7812189340811
"Santa Clara County","Sunnyvale",94087,"126 Cumulus Avenue",780000,3,6970,1277,"1956","2005-02-06",-122.031359,37.36152
"Sonoma County","Windsor",95492,"519 Christopher Way",455000,3,5140,1235,"1990","2004-12-19",-122.811716,38.559396
"Santa Clara County","Willow Glen",95125,"503 Brooks Avenue",580000,2,3049,857,"1900","2006-04-30",-121.895939,37.314026
"Alameda County","Dublin",94568,"4482 Chancery Lane",718500,NA,NA,NA,NA,"2005-11-06",-121.925676,37.714179
"Alameda County","Newark",94560,"39923 Parada Street \#B",450000,2,NA,1488,NA,"2006-04-09",-121.995702,37.516235
"Sonoma County","Petaluma",94954,"1502 Marylyn Circle",330000,1,NA,1546,"1983","2003-11-02",-122.601875,38.248754
"Santa Clara County","Mountain View",94040,"1633 Miramonte Avenue",615000,3,6000,1178,"1955","2003-08-24",-122.086964,37.375877
"Alameda County","Hayward",94544,"49 Trestle Drive",289000,2,NA,870,"1991","2004-03-28",-122.090081,37.656332
"Alameda County","Emeryville",94608,"6363 Christie Avenue #2615",390000,1,NA,768,"1984","2003-06-22",NA,NA
"Alameda county","Pleasanton",94588,"2148 Alexander Way",622000,3,2508,1329,"1986","2005-07-17",-121.874663,37.686615
"Santa Clara County","Santa Clara",95054,"4928 Plaza Escuela",510000,3,871,1240,"1978","2005-10-30",-121.960668,37.39324
"Santa Clara County","Almaden",95120,"7315 Martwood Way",475000,3,3325,1538,"1985","2003-10-19",NA,NA
